object,version,sheet_types,sheets_n,area_total_m2,area_living_m2,room_counts,rooms,sources
жилой дом 8+мд в4 баня 2мд,в3,планировка,1,165.1,165.1,"гостиная:2, кухня:1, прихожая:1, санузел:3, сауна:1, спальня:3",С/У 7.25м²; Спальня 1 16.69м²; Спальня 2 12.93м²; Кабинет 12.97м²; Коридор 13.39м²; Спальня 4 11.87м²; Гостиная 35.23м²; Кухня-Столовая 12.51м²; Кладовая 4.2м²; Прихожая 4.82м²; С/У 4.39м²; Тех. помещение 6.42м²; Парная 7.75м²; Помывочная-Комната отдыха 4.35м²; С/У 2.01м²; Гостиная 8.32м²,2025\Планировки\Юра\Жилой дом 8+МД В4 Баня 2МД В3.pdf (стр.1)
жилой дом 8+мд в5 баня 2мд,в3,планировка,1,165.2,165.2,"гостиная:2, кухня:1, прихожая:1, санузел:3, сауна:1, спальня:3",С/У 7.25м²; Спальня 1 16.69м²; Спальня 2 12.93м²; Кабинет 12.97м²; Коридор 13.39м²; Спальня 4 11.87м²; Гостиная 35.23м²; Кухня-Столовая 12.51м²; Кладовая 4.2м²; Прихожая 4.82м²; С/У 4.89м²; Тех. помещение 6.01м²; Парная 7.75м²; Помывочная-Комната отдыха 4.35м²; С/У 2.01м²; Гостиная 8.32м²,2025\Планировки\Юра\Жилой дом 8+МД В5 Баня 2МД В3.pdf (стр.1)
жилой дом 8+мд в6 и баня 2мд,в3,,1,0.0,0.0,,,2025\Планировки\Юра\Жилой дом 8+МД В6 и Баня 2МД В3.pdf (стр.1)
жилой дом 8+мд в7 и баня 2мд,в3,планировка,1,165.2,165.2,"гостиная:2, кухня:1, прихожая:1, санузел:3, сауна:1, спальня:3",С/У 7.25м²; Спальня 1 16.69м²; Спальня 2 12.93м²; Кабинет 12.97м²; Коридор 13.39м²; Спальня 4 11.87м²; Гостиная 35.23м²; Кухня-Столовая 12.51м²; Кладовая 4.2м²; Прихожая 4.82м²; С/У 4.89м²; Тех. помещение 6.01м²; Парная 7.75м²; Помывочная-Комната отдыха 4.35м²; С/У 2.01м²; Гостиная 8.32м²,2025\Планировки\Юра\Жилой дом 8+МД В7 и Баня 2МД В3.pdf (стр.1)
жилой дом 9+мд,в1,планировка,1,158.9,155.9,"гостиная:1, кухня:1, прихожая:1, санузел:3, спальня:4",С/У 7.25м²; Спальня 1 16.45м²; Спальня 2 12.93м²; Кабинет 12.97м²; Коридор 13.39м²; С/У 2.54м²; Спальня 3 10.63м²; Спальня 4 11.87м²; Гостиная 35.23м²; Кухня-Столовая 17.21м²; Прихожая 4.61м²; С/У 4.39м²; Тех. помещение 6.42м²; Крыльцо 3.0м²,2025\Планировки\Юра\Жилой дом 9+МД В1.pdf (стр.1)
загрузка 2.5,,планировка,1,0.0,0.0,,МАКСИМ; ПАРАДАЙС; МУРАВЬЁВЫ; ЭКООЗЕРО; СКОТНОЕ; АКОП,Планировки\Загрузка 2.5.pdf (стр.1)
загрузка 3,,планировка,1,35.5,35.5,,МАКСИМ 3.5м²; АКОП 5.0м²; АНЬЯЛОВО 3.0м²; СНЕТКОВО 2 СПАЛЬНИ 3.0м²; РЯЗАНЬ 4.5м²; МУРАВЬЁВЫ 4.5м²; ЧЕЛМУШИ 1 2.0м²; ЛАХДЕНПОХЬЯ 2.0м²; ЧЕЛМУШИ 2 2.0м²; ЛАХДЕНПОХЬЯ 3.0м²; СНЕТКОВО ХОЗ 3.0м²,Планировки\Загрузка 3.pdf (стр.1)
загрузка наглядно для николая николаевича,,планировка,1,48.0,48.0,,АКОП 5.0м²; ЛАХДЕНПОХЬЯ 2.0м²; МАКСИМ 3.5м²; ЧЕЛМУШИ 1 2.0м²; МУРАВЬЁВЫ 4.5м²; ЛАХДЕНПОХЬЯ 3.0м²; АНЬЯЛОВО 3.0м²; КАРПОВЫ 5.5м²; РЯЗАНЬ 4.5м²; СНЕТКОВО 2 СПАЛЬНИ 3.0м²; СНЕТКОВО ХОЗ 3.0м²; ОРЖИЦЫ 3.0м²; ЧЕЛМУШИ 2 2.0м²; ЧЕЛМУШИ 3 2.0м²; ЧЕЛМУШИ 4 2.0м²,Планировки\ЗАГРУЗКА НАГЛЯДНО ДЛЯ НИКОЛАЯ НИКОЛАЕВИЧА.pdf (стр.1)
индивидуальная планировка,в5,планировка,1,229.3,216.9,терраса:1,Жилая площадь 64.2м²; Площадь застройки 75.2м²; Крытая терраса 12.4м²; Жилая площадь 5.1м²; Площадь застройки 8.2м²; комната 11.36м²; комната 24.24м²; комната 11.12м²; комната 5.21м²; комната 5.42м²; комната 6.85м²,Работы Валя\Кубик\Индивидуальная планировка в5.pdf (стр.1)
итоговая планировка,,планировка,1,194.8,177.2,"гостиная:1, кухня:1, прихожая:1, санузел:2, спальня:4",Гостиная 69.6м²; Спальня 12.54м²; Спальня 12.54м²; Кухня 48.5м²; Холл 6.45м²; Санузел 4.54м²; Санузел 5.84м²; Спальня 13.53м²; Спальня 3.68м²; Гараж 8.8м²; Гараж 8.8м²,Загрузки Валя\Итоговая планировка.pdf (стр.1)
итоговая планировка (1),,планировка,1,93.8,73.5,"гостиная:1, санузел:2, спальня:1, терраса:1",ПМ 2.4м²; С/У 2.4м²; С/У+Суи М 4.83м²; балкон 2.4м²; коридор 7.7м²; кухня-гостиная 35.0м²; спальня 11.72м²; кабинет 9.49м²; терраса 17.85м²,Работы Валя\Сестра Васи Чехофф\Хозблок\Итоговая планировка (1).pdf (стр.1)
итоговая планировка (2),,планировка,1,194.0,194.0,"гостиная:1, кухня:1, спальня:9",Гостиная 69.6м²; Кухня 48.5м²; Спальня 12.54м²; Спальня 12.54м²; Спальня 13.53м²; Спальня 9.16м²; Спальня 9.16м²; Спальня 3.42м²; Спальня 3.42м²; Спальня 3.35м²; Спальня 8.8м²,Загрузки Валя\Итоговая планировка (2).pdf (стр.1)
итоговая планировка (3),,планировка,1,86.6,68.7,"гостиная:1, кухня:1, прихожая:1, санузел:1, спальня:1, терраса:1",Спальня 7.7м²; Гостиная 35.0м²; Кухня 11.72м²; Санузел 4.83м²; Прихожая 9.49м²; Терраса 17.85м²,Загрузки Валя\Итоговая планировка (3).pdf (стр.1)
итоговая планировка (4),,планировка,1,68.2,63.4,"гостиная:1, кухня:1, санузел:2, спальня:1",ПМ 2.4м²; С/У 2.4м²; Балкон 4.83м²; С/У+Суи М 2.4м²; Кухня-столовая 35.0м²; Гостиная 11.72м²; Спальня 9.49м²,Загрузки Валя\Итоговая планировка (4).pdf (стр.1)
итоговая планировка без расширения,,планировка,1,91.1,91.1,"гостиная:1, кухня:1, прихожая:1, санузел:5, спальня:1",Гостиная 37.78м²; Спальня 12.54м²; Духовка 4.54м²; Холл 6.3м²; Кухня 10.45м²; Санузел 3.84м²; Санузел 3.39м²; Санузел 2.84м²; Санузел 4.01м²; Санузел 5.45м²,Загрузки Валя\Итоговая планировка без расширения.pdf (стр.1)
итоговая планировка без расширения (1),,планировка,1,91.1,91.1,"гостиная:1, кухня:1, прихожая:1, санузел:5, спальня:1",Гостиная 37.78м²; Спальня 12.54м²; Духовка 4.54м²; Холл 6.3м²; Кухня 10.45м²; Санузел 3.84м²; Санузел 3.39м²; Санузел 2.84м²; Санузел 4.01м²; Санузел 5.45м²,Загрузки Валя\Итоговая планировка без расширения (1).pdf (стр.1)
итоговая планировка павел,,планировка,2,129.9,129.9,"гостиная:2, прихожая:2, санузел:2, спальня:2",спальня 10.45м²; кухня-гостиная 33.52м²; ванная 4.88м²; прихожая 12.08м²; кладовая 4.0м²; спальня 10.45м²; санузел 4.88м²; кухня-гостиная 33.52м²; прихожая 12.08м²; кладовая 4.0м²,Работы Валя\Москва Павел\KD PAvel\сборка листов\Итоговая планировка Павел.pdf (стр.1) | Работы Валя\Москва Павел\Итоговая планировка Павел.pdf (стр.1)
итоговая планировка павел (1),,планировка,1,64.9,64.9,"гостиная:1, прихожая:1, санузел:1, спальня:1",спальня 10.45м²; кухня-гостиная 33.52м²; ванная 4.88м²; прихожая 12.08м²; кладовая 4.0м²,Загрузки Валя\Итоговая планировка Павел (1).pdf (стр.1)
итоговая планировка павел (2),,планировка,1,64.9,64.9,"гостиная:1, санузел:1, спальня:1",спальня 10.45м²; кухня-гостиная 33.52м²; ванная 4.88м²; коридор 12.08м²; кладовая 4.0м²,Загрузки Валя\Итоговая планировка Павел (2).pdf (стр.1)
итоговые планировки выставочных бань в работу,,планировка,1,33.2,33.2,,комната 5.5м²; комната 7.7м²; комната 20.0м²,Планировки\Lampi 4\Итоговые планировки выставочных бань в работу.pdf (стр.1)
итоговые планировки выставочных бань в работу (1),,планировка,1,13.2,13.2,кухня:1,Кухня 5.5м²; Жилая комната 7.7м²,Загрузки Валя\Итоговые планировки выставочных бань в работу (1).pdf (стр.1)
карповы,в10,планировка,1,109.4,109.4,"гостиная:1, кухня:1, прихожая:2, санузел:4, спальня:2",Спальня 13.4м²; Спальня 8.9м²; Кабинет 11.63м²; Гостиная 35.42м²; Кухня 7.2м²; Санузел 4.76м²; Санузел 5.15м²; Прихожая 4.92м²; Холл 8.36м²; Санузел 4.17м²; Санузел 5.5м²,Работы Валя\Карповы\Карповы в10.pdf (стр.1)
карповы,в11,планировка,1,105.9,105.9,,комната 11.64м²; комната 11.09м²; комната 10.74м²; комната 38.45м²; комната 3.61м²; комната 9.59м²; комната 6.7м²; комната 4.18м²; комната 5.1м²; комната 4.76м²,Работы Валя\Карповы\Карповы в11.pdf (стр.1)
карповы,в12,планировка,1,105.7,105.7,"гостиная:1, кухня:1, прихожая:1, санузел:2, спальня:2",гостиная 38.45м²; спальня 11.09м²; спальня 10.74м²; кухня-столовая 11.49м²; санузел 3.61м²; ванная 9.59м²; прихожая 4.18м²; кладовая 6.7м²; лестничная клетка 5.1м²; коридор 4.76м²,Работы Валя\Карповы\Карповы в12.pdf (стр.1)
карповы,в14,планировка,1,105.9,105.9,,СТМ 3.61м²; комната 10.74м²; комната 11.09м²; комната 11.64м²; комната 38.45м²; комната 4.18м²; комната 4.76м²; комната 5.1м²; комната 6.7м²; комната 9.59м²,Работы Валя\Карповы\Карповы в14.pdf (стр.1)
карповы,в2,планировка,1,91.4,91.4,"гостиная:1, кухня:1, санузел:2, спальня:1",гостиная 34.5м²; кухня 6.82м²; холодильник; спальня 10.1м²; ванная 5.7м²; туалет 4.33м²; коридор 4.12м²; гардеробная 11.91м²; комната 11.83м²; кладовая 2.13м²,Планировки\Карповы в2.pdf (стр.1)
карповы,в3,планировка,1,105.6,105.6,"гостиная:1, кухня:1, санузел:3, спальня:1",гостиная 18.0м²; кухня 6.82м²; спальня 10.1м²; санузел 1.84м²; гардеробная 11.94м²; коридор 34.5м²; ванная 5.32м²; туалет 5.14м²; кладовая 4.95м²; лестница 7.0м²,Планировки\Карповы в3.pdf (стр.1)
карповы,в4,планировка,1,110.5,110.5,"гостиная:1, кухня:1, санузел:3, спальня:1",гостиная 18.0м²; кухня 6.82м²; спальня 10.1м²; санузел 1.84м²; коридор 34.5м²; гардеробная 11.94м²; кабинет 11.86м²; ванная 5.32м²; туалет 5.14м²; кладовая 4.95м²,Работы Валя\Карповы\Карповы в4.pdf (стр.1)
карповы,в5,планировка,1,91.6,91.6,"гостиная:1, кухня:1, санузел:3, спальня:1",гостиная 34.5м²; кухня 6.82м²; спальня 10.1м²; санузел 2.03м²; гардеробная 11.67м²; коридор 4.02м²; ванная 5.32м²; туалет 5.14м²; прачечная 4.95м²; кладовая 7.0м²,Работы Валя\Карповы\Карповы в5.pdf (стр.1)
карповы,в6,планировка,1,96.1,96.1,"гостиная:1, кухня:1, санузел:3, спальня:1",гостиная 34.5м²; кухня 6.82м²; спальня 10.1м²; санузел 2.03м²; гардеробная 11.67м²; коридор 4.02м²; кабинет 11.59м²; ванная 5.32м²; туалет 5.14м²; кладовая 4.95м²,Работы Валя\Карповы\Карповы в6.pdf (стр.1)
карповы,в8,планировка,1,89.1,89.1,"гостиная:1, кухня:1, санузел:2, спальня:1",гостиная 35.6м²; кухня 4.76м²; санузел 5.1м²; спальня 14.41м²; гардеробная 10.34м²; санузел 3.15м²; коридор 9.21м²; лестница 6.53м²,Работы Валя\Карповы\Карповы в8.pdf (стр.1)
карповы,в9,планировка,1,90.8,90.8,"гостиная:1, кухня:1, санузел:3",гостиная 34.17м²; кухня 5.7м²; холодильник 1.865м²; ванная 5.32м²; туалет 5.14м²; коридор 4.95м²; гардеробная 11.6м²; гардеробная 11.6м²; санузел 2.03м²; лестница 8.42м²,Работы Валя\Карповы\Карповы в9.pdf (стр.1)
карповы ,,планировка,1,105.9,105.9,"гостиная:1, прихожая:1, санузел:3, спальня:3",спальня 11.64м²; спальня 11.09м²; спальня 10.74м²; кухня-гостиная 38.45м²; ванная 4.76м²; туалет 5.1м²; коридор 4.18м²; гардеробная 6.7м²; санузел 9.59м²; прихожая 3.61м²,Планировки\Карповы .pdf (стр.1)
карповы в производство,,планировка,1,108.8,104.0,"гостиная:1, кухня:1, санузел:4, спальня:2, терраса:1",гостиная 38.45м²; кухня 11.64м²; спальня 11.09м²; спальня 10.74м²; ванная 3.61м²; туалет 2.92м²; коридор 9.59м²; гардеробная 6.7м²; санузел 4.18м²; санузел 5.1м²; терраса 4.76м²,Планировки\Lampi 4\Карповы в производство.pdf (стр.1)
карповы гп,,планировка,1,0.0,0.0,,,Планировки\Lampi 4\Карповы ГП.pdf (стр.1)
карповы предв,,планировка,1,0.0,0.0,"гостиная:1, санузел:1, спальня:1",спальня; ванная; гардеробная; кухня-гостиная,Планировки\Карповы предв.pdf (стр.1)
кассеты,,спецификация,1,0.0,0.0,,,2025\Дома\Планировка 3МД Баня 3М Лопухинка 2\КАССЕТЫ\Кассеты.pdf (стр.1)
кассеты и планки для заказа - баня хутор,,разрез,3,0.0,0.0,,,2025\Дома\Планировка 3МД Баня 3М Лопухинка 2\КАССЕТЫ\Кассеты и планки для заказа - Баня Хутор.pdf (стр.1) | 2025\Дома\Планировка 3МД Баня 3М Лопухинка 2\КАССЕТЫ\Кассеты и планки для заказа - Баня Хутор.pdf (стр.2) | 2025\Дома\Планировка 3МД Баня 3М Лопухинка 2\КАССЕТЫ\Кассеты и планки для заказа - Баня Хутор.pdf (стр.3)
квс 2мд  - габариты модулей,,спецификация,1,0.0,0.0,,,без адреса\КВС 2мд  - габариты модулей.pdf (стр.1)
квс 5мд   - габариты модулей,,спецификация,1,0.0,0.0,,,без адреса\КВС 5МД   - габариты модулей.pdf (стр.1)
квс 5мд   - габариты модулей — копия,,спецификация,1,0.0,0.0,,,без адреса\КВС 5МД   - габариты модулей — копия.pdf (стр.1)
комплектация домов без бани,,планировка,3,158.8,104.8,"гостиная:1, кухня:1, санузел:1, спальня:1, терраса:2",спальня 8.9м²; ванная 3.15м²; коридор 3.25м²; кухня 17.5м²; терраса 18.0м²; СТМ 4.45м²; ПМ; Х; ВХОД 3.0м²; студия 28.55м²; терраса 18.0м²; ВХОД 3.0м²; ПМ 4.45м²; СТМ; гостиная 28.55м²; балкон 18.0м²,Работы Валя\Аля Точка на карте\ФИНАЛИМ ПЛАНИРОВКИ\Комплектация домов без бани.pdf (стр.1) | Работы Валя\Аля Точка на карте\ФИНАЛИМ ПЛАНИРОВКИ\Комплектация домов без бани.pdf (стр.2) | Работы Валя\Аля Точка на карте\ФИНАЛИМ ПЛАНИРОВКИ\Комплектация домов без бани.pdf (стр.3)
комплектация домов снетковское,,планировка,3,158.8,104.8,"гостиная:2, санузел:1, спальня:1, терраса:1",спальня 8.9м²; кухня-гостиная 17.5м²; балкон 18.0м²; ванная 3.15м²; коридор 3.25м²; СТМ 4.45м²; ПМ; Х; ВХОД 3.0м²; студия 28.55м²; терраса 18.0м²; ВХОД 3.0м²; ПМ 4.45м²; СТМ; гостиная 28.55м²; балкон 18.0м²,Работы Валя\Аля Точка на карте\ФИНАЛИМ ПЛАНИРОВКИ\Комплектация домов Снетковское.pdf (стр.1) | Работы Валя\Аля Точка на карте\ФИНАЛИМ ПЛАНИРОВКИ\Комплектация домов Снетковское.pdf (стр.2) | Работы Валя\Аля Точка на карте\ФИНАЛИМ ПЛАНИРОВКИ\Комплектация домов Снетковское.pdf (стр.3)
коркино 4мд + терраса,,планировка,1,85.3,53.1,"гостиная:1, санузел:1, сауна:1, терраса:1",Парная 8.15м²; Душевые 7.57м²; Комната отдыха 4.77м²; С/У 4.63м²; Гостиная-Кухня 27.95м²; Терраса 32.27м²,2025\Планировки\Юра\Коркино 4МД + терраса.pdf (стр.1)
коркино спа 3мд,,планировка,1,70.1,47.9,"гостиная:1, прихожая:1, санузел:1, сауна:1, терраса:1",Парная 10.17м²; Помывочная 5.78м²; Комната отдыха 12.55м²; Туалет 1.05м²; Кухня-Гостиная 16.22м²; Прихожая 2.18м²; Крыльцо 3.0м²; Терраса (Крытая) 19.19м²,2025\Планировки\Юра\Коркино СПА 3МД.pdf (стр.1)
коркино спа 3мд,в2,планировка,1,70.1,47.9,"гостиная:1, прихожая:1, санузел:1, сауна:1, терраса:1",Парная 10.17м²; Помывочная 5.78м²; Комната отдыха 12.55м²; Туалет 1.05м²; Кухня-Гостиная 16.22м²; Прихожая 2.18м²; Крыльцо 3.0м²; Терраса (Крытая) 19.19м²,2025\Планировки\Юра\Коркино СПА 3МД В2.pdf (стр.1)
коркино спа 3мд,в3,планировка,1,70.1,47.9,"гостиная:1, прихожая:1, санузел:1, сауна:1, терраса:1",Парная 10.17м²; Помывочная 5.78м²; Комната отдыха 12.55м²; Туалет 1.05м²; Кухня-Гостиная 16.22м²; Прихожая 2.18м²; Крыльцо 3.0м²; Терраса (Крытая) 19.19м²,2025\Планировки\Юра\Коркино СПА 3МД В3.pdf (стр.1)
коркино спа 3мд,в4,планировка,1,70.1,47.9,"гостиная:1, прихожая:1, санузел:1, сауна:1, терраса:1",Парная 10.17м²; Помывочная 5.78м²; Комната отдыха 12.55м²; Туалет 1.05м²; Кухня-Гостиная 16.22м²; Прихожая 2.18м²; Крыльцо 3.0м²; Терраса (Крытая) 19.19м²,2025\Планировки\Юра\Коркино СПА 3МД В4.pdf (стр.1)
кофейня 1,,планировка,1,18.4,18.4,кухня:1,зал 12.42м²; кухня 5.94м²,Работы Валя\Каток\Планировки\Кофейня 1.pdf (стр.1)
кофейня 2,,планировка,1,9.4,9.4,"кухня:1, санузел:1",кухня 6.68м²; санузел 2.69м²,Работы Валя\Каток\Планировки\Кофейня 2.pdf (стр.1)
кп на строительство дома  2 мд .,,планировка,3,120.4,104.0,"гостиная:2, кухня:1, прихожая:2, санузел:1, спальня:2, терраса:1",Прихожая 1.79м²; Спальня 8.91м²; Гостиная 18.4м²; Терраса 16.4м²; ДОМ - СТУДИЯ 39.9м²; спальня 9.0м²; кухня 3.23м²; ванная 3.0м²; прихожая 1.29м²; гостиная 18.52м²,С рабочего стола Юры (бывш Аркадий)\КП на строительство дома  2 МД ..pdf (стр.1) | С рабочего стола Юры (бывш Аркадий)\КП на строительство дома  2 МД ..pdf (стр.2) | С рабочего стола Юры (бывш Аркадий)\КП на строительство дома  2 МД ..pdf (стр.3)
кпп уютный берег,,планировка,1,0.0,0.0,,,2025\Планировки\Вводные\КП Уютный берег\КПП Уютный Берег.pdf (стр.1)
красное озеро,в1,планировка,1,54.5,54.5,"гостиная:1, кухня:1, прихожая:1, санузел:2, спальня:1",гостиная 21.0м²; кухня 3.6м²; спальня 11.98м²; ванная 3.84м²; туалет 2.42м²; коридор 3.71м²; кладовая 3.06м²; прихожая 1.86м²; лестница 3.0м²,Планировки\Lampi 4\Красное озеро в1.pdf (стр.1)
красное озеро,в2,планировка,1,50.9,50.9,"гостиная:1, прихожая:1, санузел:2, спальня:1",спальня 11.98м²; кухня-гостиная 21.0м²; санузел 3.84м²; ванная 2.42м²; коридор 3.71м²; прихожая 3.06м²; кладовая 1.86м²; лестница 3.0м²,Планировки\Lampi 4\Красное озеро в2.pdf (стр.1)
кровля расчет,,разрез,1,0.0,0.0,,,2025\Планировки\Для Василия\Кровля расчет.pdf (стр.1)
кубик планировка,,разрез,1,0.0,0.0,,,Работы Валя\Кубик\Кубик планировка.pdf (стр.1)
куперы,в1,планировка,1,42.4,42.4,"гостиная:1, кухня:1, санузел:1, спальня:1",гостиная 14.02м²; кухня 15.0м²; спальня 8.09м²; санузел 3.62м²; коридор 1.69м²; ПМ,Планировки\Обновленные\Куперы в1.pdf (стр.1)
л.юдмила сашино 3мд в2 ф,,планировка,1,72.3,47.2,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 20.75м²; Спальня 11.12м²; Гардеробная 3.13м²; Тех. помещение 2.21м²; С/У 4.85м²; Прихожая 5.1м²; Крыльцо 3.6м²; Терраса 21.57м²,2025\Планировки\Юра\Л.юдмила Сашино 3МД В2 Ф.pdf (стр.1)
л.юдмила сашино 3мд в3 финал,,планировка,1,72.3,47.2,"гостиная:1, прихожая:1, санузел:1, спальня:1, терраса:1",Кухня-Гостиная 20.75м²; Спальня 11.12м²; Гардеробная 3.13м²; Тех. помещение 2.21м²; С/У 4.85м²; Прихожая 5.1м²; Крыльцо 3.6м²; Терраса 21.57м²,2025\Планировки\Юра\Л.юдмила Сашино 3МД В3 Финал.pdf (стр.1)
ладога парк итоговая,,планировка,1,46.6,38.3,"гостиная:1, санузел:1, спальня:1",кухня-гостиная 19.4м²; спальня 14.58м²; санузел 3.23м²; коридор 1.08м²; балкон 8.27м²,Планировки\Собрать проект\Ладога парк итоговая.pdf (стр.1)
лахденпохья 2м,в3,планировка,1,50.9,50.9,"гостиная:1, кухня:1, санузел:1",гостиная 18.0м²; кухня 28.55м²; санузел 4.4м²,Работы Валя\Карповы\Лахденпохья 2м в3.pdf (стр.1)
лахденпохья 3м,в2,планировка,1,70.3,70.3,"гостиная:1, кухня:1, санузел:1, спальня:1",гостиная 23.4м²; кухня 18.0м²; спальня 9.5м²; кабинет 8.6м²; гардеробная 3.6м²; ванная 4.2м²; ПМ 3.0м²,Работы Валя\Сестра Васи Чехофф\Лахденпохья 3м в2.pdf (стр.1)
лахденпохья 3м в производство,,планировка,1,52.3,52.3,"гостиная:1, прихожая:1, санузел:1, спальня:2",спальня 8.6м²; спальня 9.5м²; кухня-гостиная 23.4м²; коридор 3.6м²; санузел 4.2м²; прихожая 3.0м²,Планировки\Обновленные\Лахденпохья 3м в производство.pdf (стр.1)
лахденпохья 6мд - отделка интерьерная доска,,планировка,1,0.0,0.0,,,2025\Дома\Пол Окенфольд\ОТДЕЛКА\Лахденпохья 6МД - ОТДЕЛКА Интерьерная доска.pdf (стр.1)
лемболовское ресепция,в4,планировка,1,28.4,28.4,,комната 9.6м²; комната 18.83м²,Работы Валя\Карповы\Лемболовское ресепция в4.pdf (стр.1)
лемболовское ресепшен,в2,планировка,1,28.4,28.4,"кухня:1, спальня:1",Кухня-столовая 9.6м²; Спальня 18.83м²,Работы Валя\1FF\Лемболовское ресепшен в2.pdf (стр.1)
"лесное озеро - фасады, планировка",,"планировка, фасад",6,198.5,198.5,"гостиная:2, кухня:2, прихожая:2, спальня:6",спальня 1 17.5м²; гостиная 29.1м²; кухня 10.7м²; прихожая 9.57м²; спальня 2 10.77м²; спальня 3 10.77м²; кладовая 4.45м²; отделение 4.2м²; тех помещение 4.38м²; спальня 1 17.5м²; гостиная 29.1м²; кухня 10.7м²; прихожая 9.57м²; спальня 2 10.77м²; спальня 3 10.77м²; кладовая 4.45м²; откидное 4.2м²,"2025\Дома\6МД Лесное Озеро\Новая папка\Лесное озеро - Фасады, планировка.pdf (стр.1) | 2025\Дома\6МД Лесное Озеро\Новая папка\Лесное озеро - Фасады, планировка.pdf (стр.2) | 2025\Дома\6МД Лесное Озеро\Новая папка\Лесное озеро - Фасады, планировка.pdf (стр.3) | 2025\Дома\6МД Лесное Озеро\Планировка и фасады\Лесное озеро - Фасады, планировка.pdf (стр.1) | 2025\Дома\6МД Лесное Озеро\Планировка и фасады\Лесное озеро - Фасады, планировка.pdf (стр.2) | 2025\Дома\6МД Лесное Озеро\Планировка и фасады\Лесное озеро - Фасады, планировка.pdf (стр.3)"
"максим 4,5м",в2,планировка,1,72.1,72.1,"гостиная:1, кухня:1, санузел:2, спальня:1",кухня 7.61м²; ПМХ; столовая 24.73м²; гостиная 14.81м²; спальня 9.73м²; санузел 3.64м²; коридор 5.15м²; кладовая 2.58м²; ванная 3.85м²,"Планировки\Lampi 4\Максим 4,5м в2.pdf (стр.1)"
малышев (коррекция мебелировки),,планировка,1,126.9,111.4,"гостиная:1, кухня:1, прихожая:1, санузел:3, спальня:2",гараж 15.44м²; ванная 3.75м²; спальня 13.57м²; кухня 6.4м²; коридор 6.3м²; столовая 5.5м²; прихожая 5.15м²; гардеробная 4.31м²; гостиная 43.57м²; ванная 4.52м²; туалет 4.05м²; спальня 14.31м²,Планировки\Малышев (коррекция мебелировки).pdf (стр.1)
малышев чехофф свайное поле,,спецификация,1,0.0,0.0,,,Планировки\Обновленные\Малышев Чехофф свайное поле.pdf (стр.1)
малышево,в7,планировка,1,137.1,121.7,"гостиная:1, кухня:1, санузел:3, спальня:5",гараж 15.44м²; ванная 3.75м²; спальня 13.57м²; кухня 6.4м²; коридор 6.3м²; гостиная 43.57м²; спальня 5.5м²; спальня 5.15м²; ванная 4.31м²; спальня 4.52м²; ванная 14.31м²; спальня 14.31м²,Работы Валя\Карповы\Малышево в7.pdf (стр.1)
масим планировочное решение на согласование,,планировка,2,134.4,98.4,"кухня:2, санузел:2, спальня:3",кухня-столовая 23.42м²; спальня 9.3м²; спальня 9.0м²; коридор 4.73м²; ванная 4.26м²; лестница 3.0м²; балкон 18.0м²; кухня-столовая 23.42м²; спальня 9.3м²; ванная 4.26м²; гардеробная 4.73м²; коридор 3.0м²; балкон 18.0м²,Работы Валя\Сестра Васи Чехофф\Масим планировочное решение на согласование.pdf (стр.1) | Работы Валя\Эксперименты с подачей проектов\Наработки с Николаем\ЦЕХ 2\Масим планировочное решение на согласование.pdf (стр.1)
масим планировочное решение на согласование (1),,планировка,1,71.7,71.7,"гостиная:1, кухня:1, санузел:1, спальня:1",кухня-столовая 23.42м²; спальня 9.3м²; ванная 4.26м²; гардеробная 4.73м²; коридор 9.0м²; лоджия 3.0м²; гостиная 18.0м²,Загрузки Валя\Масим планировочное решение на согласование (1).pdf (стр.1)
мгн 3мд вариант 1,,,1,0.0,0.0,,,2025\Планировки\Юра\МГН 3МД Вариант 1.pdf (стр.1)
мельниково,в1,планировка,1,108.8,85.3,"гостиная:1, санузел:2, спальня:2, терраса:1",терраса 23.53м²; кухня-гостиная 40.33м²; спальня 10.78м²; спальня 10.78м²; ванная 5.61м²; санузел 9.01м²; коридор 5.79м²; лестница 3.0м²,Планировки\Мельниково в1.pdf (стр.1)
мельниково в1 перевернуть,,планировка,1,85.3,85.3,"гостиная:1, кухня:1, санузел:2, спальня:2",спальня 10.78м²; спальня 10.78м²; ванная 5.61м²; туалет 5.79м²; кухня 9.01м²; гостиная 40.33м²; коридор 3.0м²,Планировки\Мельниково в1 перевернуть.pdf (стр.1)
металл lampi бриллиант,,спецификация,1,0.0,0.0,,,Планировки\Lampi 4\Металл Lampi Бриллиант.pdf (стр.1)
микромодуль лофт,в1,разрез,1,11.9,11.9,"кухня:1, санузел:1",лестница 7.25м²; кухня 2.65м²; ванная 2.0м²,Работы Валя\Карповы\Микромодуль лофт в1.pdf (стр.1)
минибарн 6м,в2,планировка|фасад|разрез,1,11.3,11.3,,2 этаж (лофт) 6.7м²; 1 этаж 2.0м²; 1 этаж 2.65м²,Планировки\Минибарн 6м в2.pdf (стр.1)
минипарная,в1,планировка,1,8.9,5.9,"сауна:1, терраса:1",Парная 5.93м²; Терраса 3.0м²,2026\Планировки\Юра\Минипарная В1.pdf (стр.1)
